Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count
10919,26,2006.0,10,361,41.36,28.96,3.77,8.45,82.53,76.0,51.0
9265,11,1985.0,4,361,29.08,3.58,6.81,0.77,40.24,68.96767850559173,26.360820941378886
5534,26,2008.0,6,361,15.68,12.76,3.79,3.29,35.52,82.0,73.0
10921,26,2009.0,10,361,15.61,10.93,3.28,2.95,32.77,80.0,73.0
7294,5,1996.0,7,361,11.27,8.89,10.22,1.0,31.37,68.96767850559173,26.360820941378886
9646,5,1989.0,5,361,23.2,2.26,4.22,0.58,30.26,68.96767850559173,26.360820941378886
6677,4,2006.0,4,361,11.28,9.14,6.5,2.88,29.8,89.0,65.0
10917,26,2006.0,3,361,13.96,9.18,2.93,2.84,28.92,58.0,41.0
6680,26,2009.0,4,361,14.44,6.94,4.7,2.24,28.32,87.0,80.0
2566,11,1984.0,8,361,26.93,0.63,0.28,0.47,28.31,68.96767850559173,26.360820941378886
6743,4,2005.0,9,361,9.05,10.95,1.93,2.74,24.67,68.96767850559173,26.360820941378886
5533,4,2005.0,6,361,9.71,7.47,4.13,1.9,23.21,91.0,64.0
7281,5,1999.0,7,361,9.0,6.18,7.2,0.71,23.1,68.96767850559173,26.360820941378886
10911,26,2007.0,10,361,8.92,8.03,3.6,2.15,22.7,80.0,63.0
4875,28,2010.0,3,325,15.0,4.89,0.24,1.69,21.81,61.0,45.0
10912,26,2009.0,10,361,9.01,8.49,2.53,1.77,21.79,80.0,33.0
3681,17,2013.0,0,496,7.02,9.09,0.98,3.96,21.04,97.0,50.0
3685,16,2004.0,0,496,9.43,0.4,0.41,10.57,20.81,95.0,80.0
9279,23,1990.0,4,361,12.78,3.75,3.54,0.55,20.61,68.96767850559173,26.360820941378886
1009,4,2005.0,3,361,4.74,9.2,4.16,2.04,20.15,77.0,58.0
7279,4,2006.0,7,361,6.38,4.46,6.04,1.36,18.25,68.96767850559173,26.360820941378886
9272,5,1989.0,4,361,10.83,2.71,4.18,0.42,18.14,68.96767850559173,26.360820941378886
9267,11,1988.0,4,361,9.54,3.44,3.84,0.46,17.28,68.96767850559173,26.360820941378886
3681,28,2013.0,0,496,9.66,5.14,0.06,1.41,16.27,97.0,58.0
3686,16,2002.0,0,496,8.41,5.49,0.47,1.78,16.15,95.0,62.0
7295,6,2002.0,7,361,6.06,3.9,5.38,0.5,15.85,68.96767850559173,26.360820941378886
1007,4,2005.0,5,361,3.43,5.35,5.32,1.18,15.29,77.0,37.0
7273,4,2010.0,7,361,5.51,3.17,5.65,0.8,15.14,68.96767850559173,26.360820941378886
3662,16,2001.0,6,457,6.85,5.09,1.87,1.16,14.98,95.0,54.0
1231,28,2011.0,8,21,9.04,4.24,0.13,1.32,14.73,88.0,81.0
7318,5,1998.0,7,361,5.89,5.04,3.12,0.59,14.64,68.96767850559173,26.360820941378886
1225,18,2015.0,8,21,6.03,5.86,0.36,2.38,14.63,68.96767850559173,26.360820941378886
1224,28,2010.0,8,21,9.7,3.68,0.11,1.13,14.61,87.0,89.0
7303,2,2013.0,7,361,5.28,4.19,4.35,0.78,14.6,68.96767850559173,26.360820941378886
1226,17,2012.0,8,21,4.99,5.73,0.65,2.42,13.79,83.0,21.0
1226,28,2012.0,8,21,8.25,4.24,0.07,1.12,13.67,83.0,73.0
1230,28,2009.0,8,21,8.52,3.59,0.08,1.28,13.47,94.0,100.0
1231,17,2011.0,8,21,5.54,5.73,0.49,1.57,13.32,88.0,39.0
3679,16,2001.0,0,496,6.99,4.51,0.3,1.3,13.1,97.0,56.0
9352,26,2008.0,2,361,6.62,2.55,2.66,1.01,12.84,93.0,81.0
5531,2,2011.0,6,361,5.03,4.02,2.69,0.91,12.66,85.0,73.0
1224,17,2010.0,8,21,5.99,4.37,0.48,1.79,12.63,88.0,58.0
3681,18,2014.0,0,496,3.96,6.31,0.38,1.97,12.61,97.0,66.0
350,4,2005.0,9,361,2.5,3.45,5.33,0.86,12.13,86.0,57.0
3859,28,2007.0,8,325,7.97,2.81,0.13,1.21,12.12,94.0,86.0
9261,10,1996.0,4,361,6.91,2.85,1.91,0.23,11.89,68.96767850559173,26.360820941378886
7282,4,2009.0,0,361,4.34,2.71,3.96,0.76,11.77,68.96767850559173,26.360820941378886
7287,2,2014.0,7,361,4.35,3.49,3.1,0.74,11.68,68.96767850559173,26.360820941378886
3663,16,2004.0,6,457,3.01,0.01,1.1,7.53,11.66,89.0,74.0
9269,26,2007.0,4,361,6.06,3.35,1.2,0.74,11.35,97.0,73.0
9273,5,1992.0,1,361,6.16,2.04,2.69,0.29,11.18,68.96767850559173,26.360820941378886
3680,28,2008.0,0,496,6.76,3.07,0.14,1.03,11.01,98.0,86.0
3659,15,1997.0,6,457,4.02,3.87,2.54,0.52,10.95,96.0,16.0
9259,2,2011.0,4,361,4.89,3.0,2.14,0.78,10.81,90.0,82.0
3665,17,2010.0,6,457,2.96,4.82,0.81,2.11,10.7,84.0,82.0
1230,17,2009.0,8,21,4.99,3.64,0.38,1.6,10.6,94.0,67.0
9263,23,1993.0,4,361,5.99,2.15,2.12,0.29,10.55,68.96767850559173,26.360820941378886
3680,17,2008.0,0,496,4.76,3.69,0.44,1.61,10.5,98.0,64.0
7280,6,2004.0,7,361,4.34,2.65,3.15,0.35,10.49,68.96767850559173,26.360820941378886
9261,4,2004.0,4,361,5.01,3.07,1.25,0.97,10.3,68.96767850559173,26.360820941378886
1228,28,2013.0,8,21,6.73,2.56,0.04,0.91,10.25,73.0,29.0
4664,26,2011.0,3,527,5.95,3.11,0.0,1.06,10.12,74.0,15.0
6678,2,2012.0,4,361,3.66,3.14,2.47,0.63,9.9,78.0,70.0
5530,10,1996.0,6,361,5.55,1.94,2.23,0.15,9.87,68.96767850559173,26.360820941378886
3867,28,2010.0,8,325,7.04,1.95,0.08,0.79,9.86,91.0,99.0
3141,15,1997.0,7,457,3.01,2.47,3.28,0.96,9.72,92.0,20.0
3861,28,2012.0,8,325,6.65,2.28,0.04,0.74,9.71,87.0,87.0
3661,15,1999.0,6,457,3.88,3.42,1.69,0.5,9.49,93.0,23.0
4658,26,2010.0,3,527,5.8,2.85,0.01,0.78,9.44,74.0,24.0
1228,17,2013.0,8,21,4.1,3.63,0.38,1.25,9.36,71.0,10.0
1221,28,2007.0,8,21,5.93,2.36,0.13,0.9,9.31,94.0,70.0
2306,23,1994.0,4,361,4.36,1.71,3.0,0.23,9.3,68.96767850559173,26.360820941378886
5892,28,2013.0,3,325,5.7,2.65,0.02,0.81,9.18,68.96767850559173,26.360820941378886
349,2,2012.0,9,361,2.03,2.36,4.39,0.39,9.16,88.0,70.0
5549,4,2007.0,3,361,4.4,1.85,1.98,0.68,8.91,72.0,27.0
9737,28,2011.0,7,66,5.05,2.79,0.1,0.85,8.79,96.0,89.0
9271,23,1992.0,6,361,3.54,1.24,3.81,0.18,8.76,68.96767850559173,26.360820941378886
2905,18,2015.0,10,139,1.12,6.12,0.06,1.28,8.57,82.0,42.0
3857,29,2004.0,8,325,6.82,1.53,0.05,0.08,8.49,95.0,91.0
10915,26,2010.0,3,361,1.75,3.47,2.49,0.67,8.38,68.0,42.0
5546,26,2007.0,3,361,3.74,2.24,1.58,0.7,8.27,62.0,41.0
2920,17,2012.0,0,139,1.06,5.01,0.13,1.97,8.16,88.0,37.0
3635,10,1997.0,8,361,5.8,2.01,0.13,0.15,8.09,68.96767850559173,26.360820941378886
7272,4,2012.0,7,361,2.79,1.72,3.14,0.41,8.07,68.96767850559173,26.360820941378886
3144,16,2001.0,7,457,2.91,2.07,2.73,0.33,8.05,92.0,53.0
9997,13,2009.0,9,139,0.99,6.42,0.0,0.6,8.01,86.0,75.0
5519,26,2007.0,10,447,2.57,3.86,0.66,0.91,7.99,68.96767850559173,26.360820941378886
9010,18,2015.0,8,139,2.99,3.49,0.22,1.28,7.98,68.96767850559173,26.360820941378886
3143,15,1999.0,7,468,2.28,1.72,3.63,0.23,7.86,90.0,24.0
6975,0,1982.0,5,53,7.28,0.45,0.0,0.08,7.81,68.96767850559173,26.360820941378886
7315,4,2008.0,7,361,2.76,1.72,2.69,0.54,7.72,83.0,46.0
3683,19,2005.0,0,496,2.9,2.81,0.24,1.73,7.69,88.0,65.0
1223,18,2014.0,8,21,2.81,3.48,0.14,1.23,7.66,83.0,39.0
9890,10,1998.0,0,361,4.1,1.89,1.45,0.16,7.6,68.96767850559173,26.360820941378886
2906,18,2016.0,10,139,0.66,5.75,0.08,1.11,7.59,85.0,41.0
1651,15,1997.0,4,457,3.78,2.17,1.31,0.31,7.58,68.96767850559173,26.360820941378886
9354,2,2014.0,2,361,3.27,1.37,2.43,0.48,7.55,68.96767850559173,26.360820941378886
9270,26,2010.0,4,361,3.56,2.35,0.98,0.62,7.51,97.0,87.0
9266,11,1988.0,4,361,5.39,1.18,0.7,0.19,7.46,68.96767850559173,26.360820941378886
1225,30,2015.0,8,21,4.59,2.11,0.01,0.68,7.39,68.96767850559173,26.360820941378886
1238,28,2008.0,8,21,4.81,1.88,0.0,0.69,7.38,84.0,84.0
725,28,2011.0,8,139,4.46,2.11,0.06,0.69,7.32,84.0,57.0
6622,16,2003.0,6,139,3.27,2.83,0.08,1.02,7.2,85.0,33.0
4657,26,2009.0,3,527,3.48,2.99,0.0,0.73,7.2,49.0,21.0
725,17,2011.0,8,139,2.85,2.89,0.35,1.08,7.17,85.0,38.0
2961,18,2015.0,7,66,2.53,3.27,0.24,1.13,7.16,87.0,58.0
9590,15,1998.0,2,457,3.27,2.22,1.4,0.29,7.16,96.0,15.0
9899,26,2006.0,0,361,3.74,2.14,0.6,0.68,7.15,95.0,73.0
7300,2,2016.0,7,361,2.98,1.45,2.26,0.45,7.14,68.96767850559173,26.360820941378886
1653,15,1998.0,4,457,3.68,1.75,1.42,0.28,7.13,91.0,12.0
5532,27,2014.0,6,361,3.15,2.15,1.28,0.51,7.09,88.0,82.0
9353,7,2001.0,2,361,4.41,1.04,1.39,0.22,7.07,92.0,38.0
5535,7,2003.0,6,361,4.12,1.77,0.87,0.19,6.95,68.96767850559173,26.360820941378886
6623,16,2004.0,6,139,2.71,3.02,0.08,1.09,6.9,82.0,39.0
5656,16,2002.0,8,139,2.93,2.75,0.17,0.99,6.83,88.0,29.0
1650,15,1996.0,4,457,3.23,2.35,0.94,0.3,6.82,68.96767850559173,26.360820941378886
4665,26,2012.0,3,527,4.05,2.16,0.0,0.55,6.76,74.0,10.0
3482,28,2008.0,8,325,4.15,1.9,0.06,0.64,6.75,93.0,90.0
10552,17,2011.0,0,457,2.77,2.75,0.19,1.03,6.74,92.0,97.0
11367,26,2010.0,10,6,3.45,2.59,0.0,0.66,6.71,68.96767850559173,26.360820941378886
1221,17,2007.0,8,21,3.11,2.26,0.28,1.03,6.68,94.0,44.0
10551,17,2009.0,0,457,3.27,2.2,0.21,0.98,6.66,96.0,105.0
2902,17,2011.0,10,139,0.84,4.3,0.11,1.39,6.65,68.96767850559173,26.360820941378886
801,4,2005.0,3,361,1.66,2.75,1.6,0.62,6.62,74.0,45.0
9882,11,1986.0,0,361,3.74,0.93,1.69,0.14,6.51,68.96767850559173,26.360820941378886
7773,17,2010.0,0,496,2.79,2.53,0.17,0.99,6.49,95.0,73.0
2903,17,2013.0,10,139,0.78,4.24,0.07,1.37,6.47,86.0,37.0
492,17,2012.0,0,527,2.64,2.52,0.16,1.12,6.45,85.0,41.0
2311,26,2010.0,4,361,3.17,1.79,1.03,0.46,6.44,87.0,77.0
3865,29,2001.0,8,325,4.98,1.3,0.08,0.07,6.43,97.0,68.0
9737,17,2011.0,7,66,2.55,2.6,0.25,1.0,6.41,92.0,16.0
7311,6,2004.0,7,361,2.57,1.58,2.06,0.21,6.41,76.0,28.0
4900,16,2002.0,7,457,3.64,1.2,1.49,0.07,6.4,85.0,46.0
7310,5,2000.0,7,361,2.55,1.56,1.29,0.99,6.39,68.96767850559173,26.360820941378886
3860,28,2009.0,8,325,4.34,1.34,0.06,0.61,6.34,83.0,94.0
7773,28,2010.0,0,496,3.7,1.95,0.09,0.58,6.32,95.0,96.0
9278,7,2002.0,4,361,4.01,1.26,0.87,0.17,6.31,92.0,61.0
9128,23,1992.0,2,85,2.47,0.83,2.87,0.12,6.3,68.96767850559173,26.360820941378886
11088,13,2004.0,7,21,0.08,6.21,0.0,0.0,6.29,93.0,57.0
2546,15,1999.0,0,178,3.11,2.8,0.02,0.33,6.27,87.0,22.0
3483,28,2011.0,8,325,4.05,1.59,0.07,0.5,6.21,91.0,96.0
4878,28,2010.0,10,325,3.92,1.73,0.03,0.51,6.19,73.0,51.0
3481,28,2006.0,8,325,3.54,1.88,0.07,0.6,6.09,94.0,88.0
2904,18,2014.0,10,139,0.8,4.33,0.05,0.9,6.08,82.0,47.0
5779,16,2001.0,0,277,2.45,2.01,0.87,0.72,6.05,96.0,42.0
8813,8,1992.0,4,447,4.47,1.2,0.16,0.19,6.03,68.96767850559173,26.360820941378886
5778,15,1998.0,0,277,3.18,1.83,0.78,0.24,6.03,94.0,20.0
5783,17,2008.0,0,277,2.63,1.71,0.83,0.82,5.99,94.0,82.0
3158,16,2006.0,7,466,1.88,0.0,2.33,1.74,5.95,92.0,64.0
9862,17,2013.0,0,459,2.41,2.18,0.28,0.99,5.87,95.0,98.0
5192,17,2008.0,4,457,2.8,1.98,0.17,0.87,5.82,95.0,85.0
7815,15,1998.0,0,543,1.88,1.47,2.02,0.45,5.82,89.0,13.0
2458,4,2009.0,7,361,0.63,0.67,4.35,0.15,5.78,87.0,65.0
9589,15,1996.0,2,457,2.26,1.89,1.36,0.23,5.74,89.0,8.0
2059,18,2014.0,8,21,2.49,2.07,0.16,0.92,5.64,76.0,95.0
5080,26,2007.0,0,290,3.57,1.55,0.0,0.51,5.64,80.0,17.0
1605,4,2006.0,9,6,3.07,1.91,0.07,0.57,5.63,67.0,35.0
9646,11,1988.0,5,361,2.97,0.69,1.81,0.11,5.58,68.96767850559173,26.360820941378886
9351,10,1999.0,2,361,2.95,0.6,1.97,0.04,5.55,68.96767850559173,26.360820941378886
490,17,2009.0,0,527,2.54,1.93,0.21,0.86,5.55,91.0,70.0
487,28,2007.0,1,527,3.28,1.64,0.07,0.56,5.54,81.0,77.0
3262,28,2009.0,6,325,2.99,1.9,0.1,0.5,5.49,92.0,90.0
9262,6,2001.0,4,361,3.14,1.24,0.91,0.2,5.49,84.0,19.0
6017,19,2008.0,7,85,0.47,0.55,4.13,0.34,5.48,81.0,48.0
673,17,2011.0,0,550,2.71,1.85,0.11,0.81,5.48,96.0,42.0
3681,30,2014.0,0,496,2.81,2.19,0.0,0.47,5.48,97.0,14.0
5536,6,2001.0,6,361,2.62,1.64,0.99,0.23,5.47,93.0,24.0
9279,6,2001.0,4,361,3.21,1.11,0.95,0.2,5.46,68.96767850559173,26.360820941378886
7299,10,1999.0,11,361,3.18,1.24,0.94,0.09,5.45,68.96767850559173,26.360820941378886
1656,16,2001.0,4,530,2.07,2.29,0.24,0.82,5.42,66.0,22.0
1238,17,2008.0,8,21,2.73,1.83,0.0,0.83,5.39,85.0,45.0
10553,18,2016.0,8,457,1.85,2.5,0.19,0.85,5.38,93.0,113.0
2375,5,1989.0,5,361,2.18,0.96,2.0,0.2,5.34,68.96767850559173,26.360820941378886
3161,17,2009.0,7,466,1.74,1.21,1.87,0.51,5.33,83.0,83.0
7288,5,1999.0,3,361,3.02,1.12,1.01,0.16,5.31,68.96767850559173,26.360820941378886
3130,15,2000.0,7,468,1.62,0.77,2.78,0.14,5.3,94.0,22.0
492,28,2012.0,0,527,3.13,1.69,0.03,0.44,5.29,84.0,61.0
3147,16,2003.0,7,139,1.92,1.08,2.11,0.17,5.29,85.0,45.0
2303,10,1999.0,4,361,3.33,0.79,1.09,0.06,5.27,68.96767850559173,26.360820941378886
1223,30,2014.0,8,21,3.22,1.55,0.01,0.48,5.27,81.0,53.0
5892,17,2014.0,3,457,2.03,2.37,0.0,0.87,5.26,68.96767850559173,26.360820941378886
490,28,2009.0,0,527,3.11,1.55,0.08,0.51,5.26,90.0,82.0
10257,15,1997.0,0,138,2.3,2.46,0.2,0.28,5.24,85.0,13.0
10267,2,2013.0,9,361,0.97,2.11,1.9,0.24,5.23,68.96767850559173,26.360820941378886
6679,27,2012.0,4,361,2.3,1.34,1.27,0.32,5.22,84.0,70.0
2474,16,2004.0,7,466,0.65,0.75,3.61,0.2,5.21,89.0,63.0
9267,6,2003.0,4,361,2.93,1.25,0.83,0.2,5.2,68.96767850559173,26.360820941378886
7498,4,2007.0,5,361,1.21,2.43,1.03,0.52,5.19,85.0,72.0
9274,5,1994.0,4,361,2.49,0.98,1.57,0.15,5.19,68.96767850559173,26.360820941378886
2920,28,2012.0,0,139,1.09,3.47,0.03,0.57,5.16,90.0,48.0
2308,23,1995.0,4,361,2.1,0.74,2.2,0.11,5.15,68.96767850559173,26.360820941378886
2107,13,2012.0,7,21,2.44,2.16,0.0,0.54,5.14,88.0,86.0
5658,16,2003.0,8,139,1.98,2.23,0.13,0.8,5.13,68.0,30.0
4939,5,1992.0,4,361,2.71,0.61,1.7,0.11,5.13,68.96767850559173,26.360820941378886
5845,13,1996.0,9,325,3.22,1.69,0.0,0.2,5.12,68.96767850559173,26.360820941378886
3764,16,2006.0,3,428,3.81,0.63,0.0,0.68,5.12,92.0,69.0
2941,28,2010.0,7,325,3.59,1.08,0.05,0.38,5.1,80.0,88.0
5519,4,2008.0,10,447,1.63,2.45,0.44,0.57,5.09,68.96767850559173,26.360820941378886
7820,17,2009.0,0,85,1.96,1.41,1.08,0.64,5.09,84.0,76.0
9893,4,2007.0,0,361,1.85,1.8,0.95,0.48,5.08,90.0,57.0
9265,5,1999.0,4,361,3.4,1.3,0.15,0.22,5.07,68.96767850559173,26.360820941378886
2919,17,2010.0,10,139,0.61,3.28,0.06,1.12,5.07,89.0,51.0
7811,15,1996.0,0,543,2.05,1.16,1.11,0.73,5.05,91.0,8.0
3687,19,2006.0,0,496,1.7,1.99,0.16,1.18,5.03,86.0,50.0
10279,15,1999.0,10,21,3.42,1.38,0.02,0.2,5.02,92.0,18.0
10850,15,1999.0,11,138,2.79,1.89,0.0,0.33,5.01,68.96767850559173,26.360820941378886
8967,15,1998.0,4,457,3.36,1.36,0.07,0.21,5.0,68.96767850559173,26.360820941378886
3765,16,2007.0,3,21,3.49,0.01,0.01,1.48,4.98,82.0,24.0
5171,26,2007.0,8,361,3.05,1.17,0.29,0.46,4.98,68.0,34.0
7284,4,2007.0,7,361,1.83,1.19,1.54,0.37,4.93,68.96767850559173,26.360820941378886
2958,28,2008.0,7,66,3.4,0.99,0.09,0.45,4.93,93.0,84.0
10554,17,2007.0,0,457,2.31,1.72,0.12,0.77,4.92,88.0,66.0
5392,16,2005.0,10,139,3.98,0.26,0.01,0.66,4.91,88.0,29.0
2114,10,1997.0,6,361,2.91,0.99,0.89,0.1,4.88,68.96767850559173,26.360820941378886
6016,19,2010.0,7,85,0.0,0.0,4.87,0.0,4.87,68.96767850559173,26.360820941378886
9354,27,2014.0,2,361,2.6,1.08,0.81,0.38,4.87,68.96767850559173,26.360820941378886
2375,11,1990.0,5,361,2.62,0.6,1.52,0.1,4.85,68.96767850559173,26.360820941378886
9061,13,2010.0,11,21,2.57,1.68,0.0,0.58,4.84,93.0,82.0
487,17,2007.0,1,527,1.91,2.0,0.09,0.82,4.82,81.0,40.0
3599,17,2010.0,0,457,2.74,1.33,0.12,0.61,4.8,92.0,101.0
1663,15,1999.0,6,457,2.57,1.57,0.44,0.21,4.79,88.0,20.0
5080,4,2007.0,0,290,2.83,1.48,0.0,0.45,4.76,80.0,9.0
2548,15,2000.0,0,53,2.36,2.1,0.02,0.25,4.73,62.0,14.0
673,28,2011.0,0,550,2.99,1.27,0.04,0.42,4.73,94.0,87.0
9862,18,2014.0,0,457,1.88,2.0,0.07,0.77,4.71,68.96767850559173,26.360820941378886
9980,16,2003.0,6,546,1.73,2.19,0.0,0.79,4.7,68.96767850559173,26.360820941378886
10280,15,2000.0,10,21,3.05,1.41,0.02,0.2,4.68,98.0,19.0
9913,16,2002.0,0,139,1.94,1.95,0.08,0.7,4.67,82.0,32.0
10254,15,1996.0,0,138,2.29,1.97,0.13,0.24,4.63,91.0,13.0
347,26,2008.0,9,361,1.82,1.12,1.32,0.36,4.62,73.0,50.0
10556,18,2015.0,0,457,2.07,1.71,0.08,0.76,4.62,86.0,78.0
9884,23,1991.0,0,361,2.42,0.91,1.15,0.13,4.61,68.96767850559173,26.360820941378886
9897,7,2002.0,0,361,2.6,0.99,0.89,0.13,4.6,96.0,80.0
3765,26,2007.0,3,21,3.04,1.11,0.0,0.43,4.6,86.0,36.0
5275,2,2013.0,0,361,1.8,1.39,1.11,0.29,4.59,86.0,74.0
3264,28,2011.0,6,325,2.08,1.97,0.06,0.46,4.57,91.0,83.0
5520,26,2009.0,10,447,1.87,1.96,0.22,0.48,4.53,68.96767850559173,26.360820941378886
5409,16,2004.0,10,139,4.18,0.26,0.01,0.08,4.53,91.0,30.0
3765,28,2007.0,3,21,3.19,0.91,0.01,0.42,4.53,85.0,69.0
7225,0,1981.0,4,21,4.21,0.24,0.0,0.05,4.5,68.96767850559173,26.360820941378886
5393,16,2006.0,10,139,3.63,0.24,0.01,0.61,4.49,84.0,29.0
3862,30,2015.0,8,325,2.78,1.27,0.03,0.41,4.48,84.0,101.0
8907,16,2002.0,0,21,2.71,1.51,0.03,0.23,4.48,76.0,25.0
2473,15,2000.0,7,145,0.2,0.14,4.1,0.02,4.47,68.96767850559173,26.360820941378886
1229,18,2016.0,8,21,1.61,2.0,0.15,0.71,4.46,77.0,82.0
3596,16,2005.0,0,457,2.71,1.29,0.02,0.43,4.45,94.0,75.0
8919,27,2015.0,8,361,1.54,1.18,1.46,0.26,4.43,81.0,88.0
6739,27,2012.0,3,361,2.52,1.11,0.46,0.33,4.42,77.0,61.0
10282,16,2001.0,10,21,2.66,1.29,0.01,0.46,4.41,97.0,34.0
10946,16,2006.0,10,277,0.1,2.39,1.05,0.86,4.39,86.0,19.0
9735,28,2006.0,7,496,2.82,1.03,0.13,0.4,4.38,94.0,90.0
11309,11,1987.0,1,361,2.19,0.5,1.61,0.08,4.38,68.96767850559173,26.360820941378886
6627,16,2005.0,6,139,2.03,1.79,0.08,0.47,4.37,82.0,36.0
5836,26,2010.0,3,527,2.64,1.33,0.01,0.39,4.36,56.0,37.0
1223,17,2014.0,8,21,1.56,1.93,0.19,0.68,4.36,68.96767850559173,26.360820941378886
7845,17,2006.0,8,457,1.74,1.72,0.14,0.75,4.34,86.0,70.0
8812,8,1991.0,4,447,3.03,0.91,0.26,0.13,4.34,68.96767850559173,26.360820941378886
4903,16,2005.0,7,466,2.2,0.58,1.38,0.17,4.33,87.0,64.0
9890,2,2011.0,0,361,2.09,1.31,0.62,0.31,4.33,68.96767850559173,26.360820941378886
9260,27,2013.0,4,361,2.11,1.16,0.73,0.32,4.32,93.0,83.0
5892,18,2014.0,3,459,1.48,2.02,0.14,0.68,4.32,68.96767850559173,26.360820941378886
510,0,1980.0,8,53,4.0,0.26,0.0,0.05,4.31,68.96767850559173,26.360820941378886
1223,28,2014.0,8,21,2.77,1.11,0.0,0.4,4.29,68.96767850559173,26.360820941378886
2904,17,2014.0,10,139,0.58,3.02,0.04,0.64,4.28,68.96767850559173,26.360820941378886
2940,28,2008.0,7,325,2.51,1.24,0.11,0.41,4.27,89.0,95.0
6504,6,2001.0,3,349,3.0,1.11,0.05,0.07,4.24,79.0,10.0
672,17,2009.0,0,138,2.24,1.31,0.07,0.61,4.23,91.0,70.0
5781,16,2004.0,0,277,1.46,0.0,0.83,1.93,4.23,91.0,68.0
500,17,2011.0,0,527,1.41,2.01,0.1,0.7,4.22,80.0,39.0
2961,30,2015.0,7,66,2.51,1.32,0.01,0.38,4.22,88.0,39.0
2903,28,2013.0,10,139,0.92,2.89,0.01,0.4,4.22,84.0,41.0
1924,19,2006.0,4,457,2.45,1.01,0.0,0.75,4.21,85.0,59.0
10806,13,1995.0,11,21,1.7,2.27,0.0,0.23,4.21,68.96767850559173,26.360820941378886
2913,16,2005.0,10,139,0.78,2.55,0.04,0.84,4.21,80.0,32.0
2855,16,2003.0,3,457,0.88,2.3,0.2,0.83,4.2,80.0,32.0
3666,17,2007.0,6,457,1.28,1.82,0.57,0.52,4.19,80.0,67.0
500,28,2011.0,0,527,2.25,1.47,0.04,0.43,4.19,80.0,77.0
2902,28,2011.0,10,139,0.84,2.78,0.02,0.53,4.18,68.96767850559173,26.360820941378886
9573,11,1989.0,0,387,3.38,0.44,0.31,0.04,4.17,68.96767850559173,26.360820941378886
9129,17,2009.0,2,85,2.03,1.04,0.58,0.52,4.16,94.0,61.0
2833,11,1984.0,6,361,2.04,0.48,1.57,0.07,4.16,68.96767850559173,26.360820941378886
3303,15,1997.0,0,217,3.79,0.27,0.0,0.11,4.16,68.96767850559173,26.360820941378886
5407,16,2002.0,10,139,3.36,0.21,0.01,0.56,4.14,95.0,25.0
3852,13,1997.0,8,546,4.03,0.0,0.09,0.0,4.12,96.0,24.0
9280,23,1995.0,4,361,1.65,0.61,1.76,0.09,4.12,68.96767850559173,26.360820941378886
2914,16,2006.0,10,139,0.71,2.48,0.03,0.89,4.11,68.96767850559173,26.360820941378886
9125,23,1992.0,2,85,1.42,0.51,2.1,0.07,4.1,68.96767850559173,26.360820941378886
11092,13,2007.0,7,21,2.57,1.52,0.0,0.0,4.09,91.0,46.0
718,18,2016.0,8,139,1.1,2.15,0.21,0.61,4.08,88.0,31.0
3598,16,2007.0,0,457,2.32,0.04,0.04,1.67,4.07,93.0,70.0
11062,16,2005.0,10,277,0.12,2.26,0.9,0.77,4.06,68.96767850559173,26.360820941378886
2965,28,2010.0,7,66,2.66,1.03,0.04,0.33,4.05,84.0,81.0
3261,28,2007.0,6,325,2.35,1.27,0.03,0.41,4.05,90.0,66.0
1283,26,2007.0,3,496,2.12,1.47,0.05,0.42,4.05,56.0,27.0
10853,18,2014.0,0,527,1.4,1.9,0.11,0.64,4.05,80.0,80.0
6514,15,1996.0,3,457,2.28,1.55,0.16,0.06,4.05,68.96767850559173,26.360820941378886
9596,16,2000.0,2,349,1.68,1.51,0.51,0.35,4.05,85.0,25.0
3022,18,2014.0,8,527,1.13,2.18,0.1,0.63,4.04,85.0,83.0
8984,10,1997.0,8,361,2.78,0.58,0.64,0.04,4.03,68.96767850559173,26.360820941378886
3639,11,1984.0,10,361,1.22,0.28,2.46,0.04,4.01,68.96767850559173,26.360820941378886
